2026-02-01 20:13:30.865 [info] Reading sessions from keychain...
2026-02-01 20:13:30.866 [info] Getting sessions for all scopes...
2026-02-01 20:13:30.866 [info] Got 0 sessions for ...
2026-02-01 20:13:30.866 [info] Getting sessions for all scopes...
2026-02-01 20:13:30.866 [info] Got 0 sessions for ...
2026-02-01 20:13:30.866 [info] Getting sessions for all scopes...
2026-02-01 20:13:30.866 [info] Got 0 sessions for ...
2026-02-01 20:13:30.866 [info] Getting sessions for all scopes...
2026-02-01 20:13:30.866 [info] Got 0 sessions for ...
2026-02-01 20:13:30.866 [info] Getting sessions for all scopes...
2026-02-01 20:13:30.866 [info] Got 0 sessions for ...
2026-02-01 20:13:30.866 [info] Getting sessions for all scopes...
2026-02-01 20:13:30.866 [info] Got 0 sessions for ...
2026-02-01 20:13:30.866 [info] Getting sessions for all scopes...
2026-02-01 20:13:30.866 [info] Got 0 sessions for ...
2026-02-01 20:13:30.866 [info] Getting sessions for all scopes...
2026-02-01 20:13:30.866 [info] Got 0 sessions for ...
2026-02-01 20:13:30.866 [info] Getting sessions for all scopes...
2026-02-01 20:13:30.866 [info] Got 0 sessions for ...
2026-02-01 20:13:30.866 [info] Getting sessions for all scopes...
2026-02-01 20:13:30.866 [info] Got 0 sessions for ...
2026-02-01 20:13:30.866 [info] Getting sessions for all scopes...
2026-02-01 20:13:30.866 [info] Got 0 sessions for ...
2026-02-01 20:13:30.866 [info] Getting sessions for all scopes...
2026-02-01 20:13:30.866 [info] Got 0 sessions for ...
2026-02-01 20:13:30.866 [info] Getting sessions for all scopes...
2026-02-01 20:13:30.866 [info] Got 0 sessions for ...
2026-02-01 20:13:30.866 [info] Getting sessions for all scopes...
2026-02-01 20:13:30.866 [info] Got 0 sessions for ...
2026-02-01 20:13:30.866 [info] Getting sessions for all scopes...
2026-02-01 20:13:30.866 [info] Got 0 sessions for ...
2026-02-01 20:13:30.866 [info] Getting sessions for all scopes...
2026-02-01 20:13:30.866 [info] Got 0 sessions for ...
2026-02-01 20:13:30.866 [info] Getting sessions for all scopes...
2026-02-01 20:13:30.866 [info] Got 0 sessions for ...
2026-02-01 20:13:30.866 [info] Getting sessions for all scopes...
2026-02-01 20:13:30.866 [info] Got 0 sessions for ...
2026-02-01 20:13:30.866 [info] Getting sessions for user:email...
2026-02-01 20:13:30.866 [info] Got 0 sessions for user:email...
2026-02-01 20:13:30.866 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-02-01 20:13:30.866 [info] Got 0 sessions for read:user,repo,user:email,workflow...
